epoch,loss
0,6.96158548304
1,4.97786450386
2,3.32802898819
3,2.19864800653
4,1.4445410097
5,1.11223575231
6,1.00260112092
7,1.10596093213
8,1.259747212
9,1.33360108492
10,1.30801522249
11,1.19777843114
12,1.07075750022
13,0.920794519218
14,0.856920332522
15,0.813204127389
16,0.821970101949
17,0.824041015393
18,0.812703983204
19,0.792139737993
20,0.765870032278
21,0.731004569176
22,0.698677144341
23,0.665282565194
24,0.65618057992
25,0.641967039253
26,0.634956896305
27,0.638065109382
28,0.63149468641
29,0.621524369394
30,0.608504907505
31,0.594171177697
32,0.580602198034
33,0.56783861969
34,0.561787751881
35,0.555220022395
36,0.556538669241
37,0.562102983932
38,0.57024682575
39,0.57711631704
40,0.575414854127
41,0.56659702272
42,0.559800722309
43,0.557563081384
44,0.553087676296
45,0.545979920271
46,0.536332256085
47,0.529029014948
48,0.524581092032
49,0.518482170395
50,0.515911848158
51,0.514942707242
52,0.514086628282
53,0.513040035158
54,0.511103514079
55,0.509265347107
56,0.507444657184
57,0.503911388887
58,0.502204264741
59,0.500363829168
60,0.498669501092
61,0.499623533842
62,0.49636681096
63,0.493197607028
64,0.497796441252
65,0.502521645378
66,0.507484447312
67,0.50272418035
68,0.492556339986
69,0.494747808656
70,0.492675524306
71,0.492378987171
72,0.486877560616
73,0.487154209936
74,0.493779056781
75,0.502079985432
76,0.50128282808
77,0.494614178264
78,0.488748738895
79,0.484726134587
80,0.484274413135
81,0.486246207276
82,0.487834540171
83,0.491199773711
84,0.488935307876
85,0.482696514677
86,0.479251837408
87,0.48444051517
88,0.493036730869
89,0.493661675099
90,0.48921736511
91,0.483818782342
92,0.482312668014
93,0.480423302264
94,0.480887741656
95,0.476363056818
96,0.47922135366
97,0.488954776042
98,0.490851977387
99,0.482459957535
